No	Ref	V	B-V	U-B	N
8348	1367	13.70	+0.56	+0.04	1
8356	1367	12.94	+0.91	+0.61	1
8359	1367	10.49	+1.09	+0.96	1
8388	1367	14.61	+0.65	+0.18	1
8389	1367	13.24	+0.56	+0.02	1
8394	1367	13.20	+0.58	+0.03	1
8397	1367	13.21	+0.54	+0.04	1
8400	1367	13.74	+0.56	+0.03	1
8402	1367	11.39	+1.16	+1.25	1
8488	1367	15.72	+0.92	+0.63	2
8492	1367	14.51	+0.91	+0.52	1
8501	1367	14.66	+0.69	+0.07	1
8503	1367	12.96	+0.54	+0.05	1
8505	1367	14.19	+0.65	+0.11	1
8508	1367	12.78	+0.57	+0.08	1
8515	1367	14.15	+0.63	+0.09	1
8516	1367	13.71	+0.56	+0.03	1
8519	1367	14.19	+0.62	+0.09	1
8524	1367	13.00	+0.81	+0.45	1
8547	1367	15.49	+0.72	+0.24	2
8554	1367	13.27	+0.57	+0.06	1
8560	1367	14.47	+0.69	+0.22	2
8564	1367	15.10	+0.75	+0.36	2
8573	1367	14.46	+0.63	+0.17	2
8575	1367	12.81	+0.52	+0.00	1
8604	1367	14.88	+0.72	+0.31	2
8634	1367	13.19	+0.58	+0.06	1
8635	1367	13.25	+0.57	+0.05	2
8639	1367	12.66	+0.58	+0.07	2
8639	2004	12.61	+0.59	+0.10	1
8648	1367	13.72	+0.55	+0.03	2
8676	1367	14.95	+0.89	+0.52	3
8687	1367	13.04	+0.54	+0.03	2
8688	1367	13.89	+0.57	+0.04	3
8698	1367	15.23	+0.76	+0.41	4
8713	1367	12.53	+0.97	+0.80	2
8714	1367	14.66	+0.79	+0.46	2
8720	1367	13.48	+0.56	+0.03	1
8735	1367	15.99	+0.67	+0.07	3
8736	1367	14.87	+0.75	+0.23	3
8792	1367	12.63	+0.60	+0.12	2
8808	1367	12.60	+0.58	+0.10	1
8808	2004	12.58	+0.57	+0.08	1
8816	1367	15.28	+1.51	+1.18	3
8817	1367	13.68	+0.55	+0.00	2
8832	1367	12.76	+0.54	+0.07	1
8863	318	9.55	+0.94	+0.61	1
8872	1367	15.43	+0.62	-0.02	1
8907	318	10.90	+1.43	+1.89	1
8910	1367	15.59	+0.58	-0.01	2
8912	1367	13.02	+0.54	+0.04	1
8936	1367	13.84	+0.62	+0.04	1
8947	1367	13.46	+0.43	-0.09	1
8958	1367	14.42	+0.50	-0.06	1
8962	1367	13.01	+0.55	+0.05	1
8982	1367	14.27	+0.66	+0.19	1
8983	1367	14.39	+0.64	+0.16	1
8993	1367	15.65	+0.60	-0.02	2
8996	1367	15.04	+0.60	+0.10	3
9015	1367	12.56	+0.61	+0.03	1
9021	1367	12.29	+1.17	+1.08	1
