No	Ref	V	B-V	U-B	N
0124	700	12.17	+0.468	+0.079	1
0124	752	12.129	+0.455		10
0124	1367	12.11	+0.46	+0.05	3
0124	2004	12.13	+0.42	+0.13	2
0125	59	13.86	+0.58	+0.04	1
0126	59	13.98	+0.585	+0.06	2
0127	59	12.77	+0.56	+0.06	7
0127	752	12.785	+0.553		9
0127	1367	12.78	+0.55	+0.07	6
0128	59	13.16	+0.58	+0.05	2
0128	752	13.158	+0.576		1
0129	59	13.19	+0.58	+0.06	1
0129	752	13.174	+0.587		5
0130	59	12.88	+0.47	+0.005	6
0130	752	12.895	+0.454		1
0131	59	11.22	+0.415	+0.06	2
0131	71	11.20	+0.42	+0.06	1
0131	100	11.21	+0.42	+0.05	3
0131	318	11.18	+0.42		1
0131	700	11.22	+0.414	+0.064	1
0131	1367	11.21	+0.40	+0.10	6
0131	2004	11.15	+0.41	+0.05	1
0132	59	13.12	+0.61	+0.08	4
0134	59	12.27	+0.58	+0.06	3
0134	752	12.265	+0.567		7
0134	1367	12.19	+0.52	+0.11	1
0134	2004	12.27	+0.51	+0.20	2
0135	59	11.45	+1.06	+0.92	3
0135	308	11.44	+1.06		3
0135	700	11.42	+1.090		1
0135	752	11.428	+1.052		7
0135	1367	11.45	+1.05	+0.96	1
0135	2004	11.44	+1.07	+0.90	2
0136	59	11.31	+0.63	+0.14	3
0136	100	11.31	+0.64	+0.18	4
0136	700	11.30	+0.615	+0.170	2
0136	1367	11.28	+0.61	+0.16	2
0136	2004	11.27	+0.59	+0.20	1
0136	2037	11.284	+0.645		16
0137	59	14.05	+0.64	+0.16	1
0140	59	13.20	+0.565	+0.06	2
0141	59	10.48	+1.11	+0.98	2
0141	100	10.49	+1.10	+0.99	1
0141	308	10.47	+1.11		3
0141	700	10.47	+1.100		1
0141	752	10.442	+1.085		4
0141	1367	10.46	+1.12	+1.02	2
0141	2004	10.46	+1.13	+0.93	5
0141	2037	10.459	+1.117		4
0142	59	14.17	+0.62	+0.11	1
0142	1367	14.18	+0.66	+0.10	4
0143	59	11.52	+0.86	+0.50	3
0143	308	11.51	+0.87		3
0143	700	11.41	+0.874	+0.519	1
0143	1367	11.49	+0.91	+0.48	2
0143	2004	11.52	+0.87	+0.50	1
0145	59	12.82	+0.585	+0.055	2
0147	59	13.28	+0.59	+0.065	2
0148	59	13.32	+0.575	+0.085	2
0149	59	12.56	+0.605	+0.085	2
0150	59	13.26	+0.585	+0.05	2
0151	59	10.49	+1.10	+0.96	3
0151	100	10.55	+1.10		1
0151	308	10.50	+1.09		3
0151	700	10.51	+1.090		1
0151	1367	10.48	+1.10	+0.96	3
0151	2004	10.50	+1.13	+0.88	3
0151	2037	10.481	+1.103		15
0152	59	13.51	+0.57	+0.065	2
0153	59	11.31	+0.13	+0.11	3
0153	700	11.29	+0.105	+0.119	1
0153	752	11.280	+0.105		2
0153	2004	11.26	+0.13	+0.09	4
0153	2037	11.265	+0.124		16
0154	1367	13.68	+0.54	+0.04	1
0155	59	10.51	+0.59	+0.035	2
0155	318	10.51	+0.58		1
0155	700	10.51	+0.587	+0.087	1
0156	59	10.99	+0.11	+0.09	3
0156	100	10.96	+0.11	-0.01	3
0156	700	10.94	+0.104	+0.081	1
0156	1367	10.93	+0.11	+0.09	3
0156	2004	10.91	+0.11	+0.10	2
0157	59	12.78	+0.58	+0.075	2
0157	100	12.78	+0.60	+0.11	2
0159	59	13.33	+0.63	+0.03	1
0161	59	12.89	+0.46	+0.00	1
0162	59	12.84	+0.58	+0.08	2
0163	59	12.67	+0.68	+0.19	1
0163	695	12.67	+0.69	+0.18	1
0164	59	10.55	+1.125	+1.015	2
0164	308	10.55	+1.12		3
0164	1367	10.52	+1.11	+1.01	3
0164	2004	10.63	+1.09	+0.83	2
0165	59	12.86	+0.60	+0.11	1
0166	59	12.93	+0.93	+0.59	2
0166	695	12.91	+0.92	+0.59	1
0166	700	12.97	+0.906	+0.619	1
0166	752	12.911	+0.898		2
0168	59	13.31	+0.49	+0.03	1
0170	59	9.69	+1.355	+1.48	4
0170	308	9.67	+1.34		3
0170	318	9.67	+1.35		1
0170	1367	9.67	+1.36	+1.54	2
0170	2004	9.69	+1.37	+1.46	1
0170	2037	9.645	+1.350		15
0171	59	13.15	+0.59	+0.065	2
0173	1367	11.74	+0.92	+0.52	2
0174	59	12.68	+0.60	+0.09	1
0175	59	13.72	+0.595	+0.08	2
0176	59	12.64	+0.575	+0.045	2
0176	1367	12.65	+0.57	+0.00	5
0177	59	13.08	+0.58	+0.08	1
0179	59	13.67	+0.65	+0.10	1
0180	59	12.64	+0.59	+0.11	1
0183	1367	13.29	+0.56	+0.06	1
0184	59	12.27	+0.27	+0.10	2
0184	700	12.26	+0.278	+0.076	1
0184	1367	12.22	+0.26	+0.11	3
0184	2004	12.25	+0.20	-0.02	1
0185	1367	10.99	+0.21	+0.11	1
0185	2004	11.07	+0.23	+0.16	2
0186	1367	13.85	+0.58	+0.10	1
0187	59	13.23	+0.62	+0.11	1
0188	59	13.70	+0.55	+0.06	1
0189	59	12.87	+0.52	+0.06	1
0190	59	10.98	+0.245	+0.15	2
0190	1367	10.92	+0.24	+0.17	3
0190	2004	10.95	+0.23	+0.14	1
0191	1367	13.18	+0.56	+0.05	1
0192	59	12.81	+0.77	+0.28	1
0192	695	12.80	+0.73	+0.32	1
0192	700	12.79	+0.758	+0.322	1
0192	1367	12.80	+0.75	+0.29	2
0193	59	12.26	+1.015	+0.80	2
0193	100	12.28	+0.99	+0.76	1
0193	2004	12.25	+1.03	+0.65	2
0194	59	13.60	+0.59	+0.06	1
0195	59	12.70	+0.695	+0.205	3
0195	695	12.69	+0.70	+0.23	1
0196	1367	14.44	+0.62	+0.18	1
0197	1367	13.93	+0.57	+0.08	1
0198	1367	13.69	+0.56	+0.04	1
0199	59	13.22	+0.60	+0.06	1
0200	59	10.98	+0.80	+0.36	2
0202	59	12.60	+0.80	+0.10	1
0203	1367	13.00	+0.59	+0.10	1
0204	1367	13.93	+0.34	2.00	1
0205	591	13.31	+0.53	+0.01	1
0207	1367	12.34	+0.42	+0.12	1
0207	2004	12.32	+0.36	+0.01	1
0209	59	13.74	+0.655	+0.14	2
0210	59	12.26	+0.59	+0.075	4
