#name    RA		DEC    distSun(kly) distGalCenter(kly)  m_v    angular_diameter
Sco      263.949     -30.4697      21.8000      4.20000      15.9000      2.40000
Sco      264.044     -38.5533      26.7000      4.60000      12.2400      2.20000
Sco      264.072     -44.7355      32.3000      10.1000      6.72000      10.4000
Oph      264.400     -3.24592      30.3000      13.0000      7.59000      11.0000
Oph      264.652     -23.9095      34.6000      8.80000      9.45000      4.80000
Ara      265.175     -53.6743      7.50000      19.6000      5.73000      31.0000
Oph      265.926     -26.2225      18.9000      7.20000      11.5500      1.20000
Oph      266.228      3.17014      67.2000      46.9000      11.0100      4.20000
Sgr      267.020     -24.7792      22.5000      3.90000      13.8500      2.40000
Sgr      267.220     -20.3603      27.7000      4.20000      9.20000      4.40000
Sco      267.554     -37.0514      37.8000      12.7000      7.15000      9.60000
Sco      267.693     -31.2754      22.2000      4.20000      13.8500      1.40000
Sco      267.715     -34.5992      37.8000      12.1000      10.0800      7.60000
Sgr      268.613     -24.1453      25.4000      2.30000      17.2900      2.00000
Sco      269.765     -44.2659      36.8000      13.7000      8.54000      5.60000
Sgr      270.412     -26.8397      23.1000      3.60000      16.0000     0.200000
Sgr      270.455     -27.8258      20.5000      5.90000      9.90000      9.90000
Oph      270.461     -8.95878      34.6000      13.7000      10.2300      4.00000
Sgr      270.892     -30.0340      25.1000      2.00000      8.27000      9.40000
Sgr      270.902     -26.0725      18.9000      7.50000      14.9000      1.50000
Ser      270.960    -0.297639      22.2000      12.7000      10.4700      3.40000
Sgr      271.207     -30.0563      25.8000      2.00000      9.60000      5.00000
Ser      271.207     -7.58586      25.4000      9.80000      9.33000      7.90000
Sgr      271.536     -27.7653      17.3000      9.10000      9.30000      1.50000
Sgr      271.836     -24.9973      9.80000      16.6000      7.77000      9.20000
CrA      272.010     -43.7149      24.4000      6.80000      6.30000      15.0000
Sgr      272.091     -19.8297      11.7000      14.7000      27.7400      3.30000
Ara      272.275     -46.4231      69.8000      45.6000      12.0000      1.50000
Sgr      272.323     -25.9087      19.6000      7.20000      8.06000      9.20000
Sgr      272.402     -20.7789      16.0000      10.4000      24.6000      1.90000
Sgr      272.573     -31.7639      24.1000      3.30000      9.26000      4.20000
Ser      272.684     -7.20761      17.6000      12.1000      10.3400      8.00000
Sgr      273.066     -22.7419      15.6000      11.1000      15.6300      1.00000
Sgr      273.412     -31.8269      35.5000      10.1000      8.55000      6.40000
Sgr      273.527     -28.6350      21.2000      5.50000      11.0000      1.30000
Tel      274.657     -52.2158      44.0000      22.8000      8.27000      6.60000
Sgr      275.919     -30.3610      25.8000      3.90000      7.87000      8.80000
Sgr      276.137     -24.8698      17.9000      8.80000      6.79000      11.2000
Sgr      277.734     -25.4975      30.6000      7.20000      9.02000      7.30000
Sgr      277.846     -32.3481      28.7000      5.50000      7.64000      9.80000
Sgr      277.975     -23.4752      26.4000      5.50000      9.13000      5.80000
Sgr      278.940     -32.9907      32.6000      8.80000      8.62000      6.00000
Sgr      279.100     -23.9047      10.4000      16.0000      5.10000      32.0000
Sgr      280.375     -19.8258      41.7000      17.9000      11.0200      5.20000
Sgr      280.803     -32.2921      29.3000      7.20000      7.87000      8.00000
Sct      283.268     -8.70611      22.5000      11.4000      8.10000      9.80000
Sgr      283.764     -30.4799      86.4000      61.6000      7.60000      12.0000
Sgr      283.775     -22.7015      23.1000      7.80000      9.28000      5.40000
Sgr      284.888     -36.6322      28.4000      8.50000      7.01000      13.0000
Aql      286.314      1.90083      25.8000      16.3000      12.4400      4.00000
Pav      287.717     -59.9846      13.0000      17.0000      5.40000      29.0000
Aql      287.800      1.03047      24.1000      15.6000      8.88000      9.60000
Lyr      289.148      30.1835      30.6000      30.0000      8.27000      8.80000
Sgr      289.433     -34.6577      74.3000      50.9000      12.0000      1.20000
Sge      289.509      18.5717      19.2000      20.9000      13.2200      4.00000
Sgr      292.184     -30.3556      93.2000      69.8000      12.3000      2.30000
Sgr      294.999     -30.9648      17.6000      12.7000      6.32000      19.0000
Sgr      295.435     -33.9995      85.7000      63.2000      12.4000      3.50000
Aql      296.310     -8.00722      43.7000      26.7000      9.80000      10.0000
Sge      298.444      18.7792      13.0000      21.8000      8.19000      7.20000
Sgr      301.520     -21.9212      68.1000      47.9000      8.52000      6.80000
Del      308.547      7.40447      50.9000      41.7000      8.83000      7.10000
Aqr      313.365     -12.5373      55.4000      42.1000      9.27000      6.60000
Del      315.372      16.1873      34.3000      125.500      10.5600      3.60000
Peg      322.493      12.1670      33.9000      33.9000      6.20000      18.0000
Aqr      323.363    -0.823250      37.5000      33.9000      6.47000      16.0000
Cap      325.092     -23.1799      26.4000      23.1000      7.19000      12.0000
Cap      326.662     -21.2526      61.9000      51.5000      11.9900      2.90000
Peg      346.685      12.7720      84.8000      87.7000      13.4700     0.700000
Aqr      347.111     -15.6115      85.7000      82.5000      11.2900      4.20000
